product name,product url,product price,review,number of reviews,ASIN,product description,manufacturer,description
ASTRID Blue Textured Cotton Tote Bag With Coin Pouch,https://amazon.in/ASTRID-Blue-Textured-Cotton-Pouch/dp/B08W431L94/ref=sr_1_229?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-229,₹749,4.4 out of 5 stars,219,B08W431L94,,,ASTRID Blue Textured Cotton Tote Bag With Coin Pouch
"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College",https://amazon.in/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY/ref=sr_1_230?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-230,₹519,4.1 out of 5 stars,"7,075",B06XRQRDCY,,,"Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College"
Terminator Large 55 L Unisex Laptop Backpack For School/Office/Travel/Casual and Fits Upto 17 Inch Laptop,https://amazon.in/Terminator-Unisex-Laptop-Backpack-School/dp/B0BSV5ZYGC/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-231,₹699,,,B0BSV5ZYGC,,,Terminator Large 55 L Unisex Laptop Backpack For School/Office/Travel/Casual and Fits Upto 17 Inch Laptop
American Tourister Polyester Soft 29 cms Travel Duffle(FA0 (0) 09 001_Black),https://amazon.in/Kamiliant-American-Tourister-BRIO-52CM/dp/B0849FBKPM/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-232,"₹1,099",4.0 out of 5 stars,129,B0849FBKPM,,,American Tourister Polyester Soft 29 cms Travel Duffle(FA0 (0) 09 001_Black)
"ASHAPURA SUITCASE BAGS Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",https://amazon.in/ASHAPURA-SUITCASE-Polyester-Backpack-Resistant/dp/B09F5F445M/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-233,₹349,,,B09F5F445M,,,"ASHAPURA SUITCASE BAGS Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)"
Fur Jaden 30L Black Laptop Backpack Bag with USB Charging Port and Anti Theft Backside Pocket for Men and Women,https://amazon.in/Jaden-Black-Laptop-Backpack-Charging/dp/B07RRJ7LQB/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-234,"₹1,799",4.1 out of 5 stars,371,B07RRJ7LQB,,,Fur Jaden 30L Black Laptop Backpack Bag with USB Charging Port and Anti Theft Backside Pocket for Men and Women
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag,https://amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D2ZFX/ref=sr_1_235?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-235,"₹1,181",4.2 out of 5 stars,"1,347",B08D7D2ZFX,,,Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Navy College Bag
Fristo Women's Handbag (FRB-315_Red),https://amazon.in/Fristo-FRB-315-Red-Women-Handbag/dp/B07MNRTDK5/ref=sr_1_236?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-236,₹498,3.9 out of 5 stars,"5,539",B07MNRTDK5,,,Fristo Women's Handbag (FRB-315_Red)
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel (Grey),https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ39TB/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-237,₹239,3.8 out of 5 stars,64,B07FWQ39TB,,,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel (Grey)
HIMART Waterproof Multipurpose Zipper Cosmetic Travel Wash Bag Toiletry Makeup Organizer Portable Carry Bag Pouch Home & Travel Toiletry Bag for Women Girls. (Big Pink wash Bag),https://amazon.in/HIMART-Waterproof-Multipurpose-Cosmetic-Organizer/dp/B0BRTZZC8K/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-238,₹299,4.0 out of 5 stars,1,B0BRTZZC8K,,,HIMART Waterproof Multipurpose Zipper Cosmetic Travel Wash Bag Toiletry Makeup Organizer Portable Carry Bag Pouch Home & Travel Toiletry Bag for Women Girls. (Big Pink wash Bag)
SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB),https://amazon.in/SAFARI-Denim-Casual-Backpack-DAYPACKNEO15CBDNB/dp/B07NSC4SL5/ref=sr_1_240?crid=2M096C61O4MLT&keywords=bags&qid=1675289767&sprefix=ba%2Caps%2C283&sr=8-240,₹480,4.0 out of 5 stars,"12,154",B07NSC4SL5,,,SAFARI 15 Ltrs Denim Blue Casual/School/College Backpack (DAYPACKNEO15CBDNB)
